,0_n,0_l,0_s,0_p,5_n,5_l,5_s,5_p,1_n,1_l,1_s,1_p,6_n,6_l,6_s,6_p,4_n,4_l,4_s,4_p,3_n,3_l,3_s,3_p,2_n,2_l,2_s,2_p
1309,AC010654.1,-0.7478654,-0.15149078,0.8795885874442376,AC062029.1,-21.108904,-0.037150614,0.9703649150104618,TRG-AS1,-21.163244,-0.05076899,0.9595096017888995,VGLL3,-21.259674,-0.041200537,0.9671360259634769,NAPSA,-19.966288,-0.023230098,0.9814667300323713,BORCS8-MEF2B,-20.582193,-0.02881032,0.9770158696186577,INE2,-21.227373,-0.0402762,0.9678729298241711
1310,NCAPG2,-0.07048634,-0.15297535,0.8784177123213552,HKDC1,-21.2371,-0.037150614,0.9703649150104618,LINC01356,-21.031578,-0.05076899,0.9595096017888995,AC025165.4,-21.117823,-0.041200537,0.9671360259634769,AC006372.3,-19.867178,-0.023230098,0.9814667300323713,SRGAP1,-0.23109308,-0.029047443,0.9768267528024002,FAM71F2,-21.228832,-0.0402762,0.9678729298241711
1311,MFSD9,-0.89346355,-0.153997,0.8776121030871853,AC009063.2,-21.06691,-0.037150614,0.9703649150104618,SLC26A3,-20.772015,-0.05076899,0.9595096017888995,AL731537.1,-21.053526,-0.041200537,0.9671360259634769,NME8,-20.466381,-0.023230098,0.9814667300323713,ANP32E,-0.045054022,-0.029640248,0.9763539664838362,LINC02356,-21.272968,-0.0402762,0.9678729298241711
1312,SCIN,-0.97513187,-0.153997,0.8776121030871853,AC092490.1,-21.153147,-0.037150614,0.9703649150104618,TSKU,-0.28430843,-0.0508247,0.959465206107078,VWA3B,-21.1654,-0.041200537,0.9671360259634769,AC006033.2,-20.030857,-0.023230098,0.9814667300323713,LINC01852,-0.50406486,-0.031636026,0.9747623145697556,ARMCX3-AS1,-21.0598,-0.0402762,0.9678729298241711
1313,AC027601.4,-1.5236142,-0.15402892,0.8775869298364907,SYPL2,-21.238987,-0.037150614,0.9703649150104618,MELK,-0.83014166,-0.051479336,0.9589435662991646,HOMER3-AS1,-21.337887,-0.041200537,0.9671360259634769,LINC01793,-20.061779,-0.023230098,0.9814667300323713,IQCN,-0.6511746,-0.031715065,0.9746992808773823,CD3G,-21.171988,-0.0402762,0.9678729298241711
1314,LIN28B-AS1,-22.262781,-0.15650322,0.87563638140815,AC026785.2,-21.071632,-0.037150614,0.9703649150104618,AC069120.1,-0.74571276,-0.051507194,0.9589213692488895,ZNF676,-20.993425,-0.041200537,0.9671360259634769,CU634019.6,-20.309338,-0.023230098,0.9814667300323713,CA3-AS1,-0.52318823,-0.031754587,0.9746677640904253,FOXD3-AS1,-21.091106,-0.0402762,0.9678729298241711
1315,LMNB1,-22.541714,-0.15650322,0.87563638140815,AL731537.1,-21.029758,-0.037150614,0.9703649150104618,ARHGEF35,-0.9368658,-0.05153505,0.9588991722304634,NLRP12,-21.386787,-0.041200537,0.9671360259634769,GOLGA8R,-20.483498,-0.023230098,0.9814667300323713,C1orf167,-0.75924516,-0.031794105,0.9746362473430203,LINC01515,-21.194439,-0.0402762,0.9678729298241711
1316,SLC26A2,-0.30258033,-0.16169126,0.8715489873792888,CD3G,-21.153824,-0.037150614,0.9703649150104618,ZNF670,-0.8964257,-0.05156291,0.9588769752439034,GP6,-21.079475,-0.041200537,0.9671360259634769,ASB4,-20.115608,-0.023230098,0.9814667300323713,LMNB1,-0.86521274,-0.031833626,0.9746047306352166,SELL,0.23509079,-0.040412728,0.9677640836761356
1317,ANPEP,-0.7032161,-0.16191475,0.8713729912525474,VWA3B,-21.14163,-0.037150614,0.9703649150104618,AL163051.1,-1.0170377,-0.05156291,0.9588769752439034,DLGAP5,-21.18628,-0.041200537,0.9671360259634769,AF129075.2,-20.06966,-0.023230098,0.9814667300323713,EGFLAM,-0.9921896,-0.031873148,0.9745732139670632,OASL,0.41228053,-0.040412728,0.9677640836761356
1318,VTI1A,0.30198526,-0.16293639,0.8705685187595498,AC116667.1,-21.040775,-0.037150614,0.9703649150104618,HOXC-AS1,-0.9817024,-0.051590763,0.9588547782892265,HKDC1,-21.260872,-0.041200537,0.9671360259634769,PNPLA3,-20.230122,-0.023230098,0.9814667300323713,EYA1,-0.7719499,-0.031873148,0.9745732139670632,CXCL17,-0.09695428,-0.040458236,0.9677278017601483
1319,TRIM16L,-0.13648216,-0.16315988,0.8703925582228227,GHRLOS,-21.11171,-0.037150614,0.9703649150104618,FAM215B,-1.0190923,-0.051590763,0.9588547782892265,FAM169B,-20.945734,-0.041200537,0.9671360259634769,AL121917.1,-20.028025,-0.023230098,0.9814667300323713,ITGA8,-0.9980644,-0.031873148,0.9745732139670632,WDR66,0.31729808,-0.040458236,0.9677278017601483
1320,WNT5B,-0.19581506,-0.16363877,0.8700155215459244,LINC01515,-21.176273,-0.037150614,0.9703649150104618,AC016831.7,-1.2078383,-0.05164648,0.9588103844755911,AC132872.2,-21.083,-0.041200537,0.9671360259634769,AC023790.2,-20.14226,-0.023230098,0.9814667300323713,LIN28B-AS1,-0.84422934,-0.031873148,0.9745732139670632,GP2,-0.08692263,-0.040503748,0.9676915199109648
1321,BIK,-0.2581676,-0.16405381,0.8696887803220943,GJB2,-0.22043356,-0.03797889,0.9697045125084552,GPR132,-1.0867484,-0.05164648,0.9588103844755911,LINC01515,-21.200045,-0.041200537,0.9671360259634769,GYS2,-20.17327,-0.023230098,0.9814667300323713,MSMB,-1.1020198,-0.031912666,0.9745416973386094,SORBS3,0.24599601,-0.041277412,0.9670747387685408
1322,NPAS4,-0.70499176,-0.16446885,0.8693620613451278,CCR1,-0.47600862,-0.03817378,0.9695491266867471,TTC22,-1.1645172,-0.05164648,0.9588103844755911,AIM2,-21.06949,-0.041200537,0.9671360259634769,AC107214.1,-20.11993,-0.023230098,0.9814667300323713,ADAMTSL3,-1.1294907,-0.031952187,0.9745101807499043,TNFSF10,0.3706805,-0.044394836,0.9645896769288238
1323,FLT4,-1.022459,-0.16459656,0.8692615369133136,GCH1,-0.6803592,-0.038319945,0.9694325880787744,AC002451.1,-1.3471742,-0.05170219,0.9587659907896947,AC004846.1,-21.019493,-0.041200537,0.9671360259634769,AC004951.1,-20.268913,-0.023230098,0.9814667300323713,LINC00115,-1.2609565,-0.031952187,0.9745101807499043,PRSS35,0.3081273,-0.0481494,0.9615971779327028
1324,PMS1,0.073402464,-0.16557032,0.8684951077176477,AL157392.5,-0.85861176,-0.03841739,0.9693548960359398,LRAT,-1.2548548,-0.051730048,0.9587437939946916,AC027088.2,-21.084375,-0.041200537,0.9671360259634769,DSC3,-20.135742,-0.023230098,0.9814667300323713,JRKL,-0.7072586,-0.033038996,0.9736434903265273,MUC19,0.3605519,-0.0481494,0.9615971779327028
1325,ZNF845,-1.2613646,-0.16702297,0.8673519759949972,NKAIN3,-0.7174537,-0.03846611,0.9693160501235428,DNAJC22,-0.576872,-0.052301113,0.9582887667707125,IGLC7,-21.126207,-0.041200537,0.9671360259634769,AC004522.2,-20.266953,-0.023230098,0.9814667300323713,INTS6-AS1,-0.3288855,-0.034501247,0.9724774470450307,AC025175.1,-21.16575,-0.048331436,0.9614521004823823
1326,SH2D3A,-1.9949445,-0.16721453,0.8672012539956357,ANGPTL1,-0.7385271,-0.03846611,0.9693160501235428,PARVG,-0.7787877,-0.052718963,0.9579558286231821,SIT1,-21.212025,-0.041200537,0.9671360259634769,AC110597.3,-19.826725,-0.023230098,0.9814667300323713,AC137723.1,-0.06565199,-0.03454077,0.972445933166953,RTL9,-21.156538,-0.048331436,0.9614521004823823
1327,IKBKE,-0.17565799,-0.16913012,0.8656943004151734,ABCC4,-1.0090394,-0.03861228,0.9691995128235383,FRMD4B,-0.47602355,-0.052969676,0.9577560692513304,CD72,-21.03574,-0.041200537,0.9671360259634769,CENPA,-20.349325,-0.023230098,0.9814667300323713,CRIP1,-0.0891009,-0.03461981,0.972382905539902,STAC,-21.34271,-0.048331436,0.9614521004823823
1328,AF001548.2,-22.69229,-0.16954516,0.8653678579618702,MAPK9,-0.04894371,-0.039196942,0.9687333702255125,WNT10A,-0.39660713,-0.05309503,0.9576561905594233,HGH1,-0.35003653,-0.041624825,0.9667977837946068,ODF3L2,-19.986534,-0.023230098,0.9814667300323713,ADCY4,-0.47475508,-0.034817412,0.972225337227677,FHL5,-21.415102,-0.048331436,0.9614521004823823
1329,CASZ1,-0.5246381,-0.1702156,0.8648405763920975,TMEM99,-0.4999713,-0.040073942,0.9680341764079015,PLEKHH2,-0.5267578,-0.053512882,0.9573232663962785,ACVRL1,-0.026132751,-0.042138435,0.9663883407461709,LINC01224,-20.216698,-0.023230098,0.9814667300323713,AC096564.1,-0.51295656,-0.03485693,0.972193823695123,LINC01124,-21.59149,-0.048331436,0.9614521004823823
1330,ITGA1,-0.367967,-0.17198752,0.8634473367848177,CAMKMT,-0.26243612,-0.042802382,0.9658590663121868,KIF9-AS1,-0.62197936,-0.053652167,0.957212293326646,KCNK2,-0.17409351,-0.04249573,0.9661035160193555,AC073534.2,-19.929714,-0.023230098,0.9814667300323713,NUSAP1,-1.0516082,-0.035212614,0.9719102038615604,TEKT5,-21.418322,-0.048331436,0.9614521004823823
1331,MYO7A,-0.33212036,-0.1720833,0.8633720385913897,EGLN3,-0.34975374,-0.043338325,0.9654318418816005,MT1E,-0.0693871,-0.05465501,0.9564133118367684,ARMT1,-0.14309525,-0.043411296,0.9653736724826162,AC244517.12,-20.440256,-0.023230098,0.9814667300323713,TAF6L,-0.08935598,-0.035489257,0.9716896131116728,AP000866.1,-21.37374,-0.048331436,0.9614521004823823
1332,ZNF217,0.10544636,-0.17211524,0.8633469394693372,KCTD7,-0.15951608,-0.044556376,0.9644609143635045,LTB,-0.4401555,-0.05717605,0.954404956348271,AC027601.4,0.45687836,-0.045354087,0.9638250769389769,AC116312.1,-19.908756,-0.023230098,0.9814667300323713,NUDT12,-0.11372815,-0.036497027,0.9708860509630324,C8orf34-AS1,-21.349447,-0.048331436,0.9614521004823823
1333,ZNF571,-0.5915961,-0.1725622,0.8629955662534756,LINC01124,-21.573318,-0.04458074,0.9644414963458185,TEX14,-1.1551161,-0.059543878,0.9525189189944807,PARVG,-0.75886023,-0.04566672,0.9635758902487682,MTFR2,-20.147203,-0.023230098,0.9814667300323713,CFAP298,-0.07143498,-0.036556304,0.9708387835137804,AC130324.3,-21.299139,-0.048331436,0.9614521004823823
1334,LAD1,-0.39797702,-0.17474917,0.861276739269671,AC004147.3,-21.251637,-0.04458074,0.9644414963458185,HRC,-1.181764,-0.059543878,0.9525189189944807,PPP1R3B,-0.7660751,-0.04571138,0.9635402924400157,CTRB2,-20.057405,-0.023230098,0.9814667300323713,ST20-AS1,-0.1021365,-0.036892228,0.9705709365743869,REM1,-21.384787,-0.048331436,0.9614521004823823
1335,WDR66,-0.6526358,-0.17494072,0.8611262162483487,PTPN7,-21.294271,-0.04458074,0.9644414963458185,LINC01473,-1.1317723,-0.05957173,0.95249673188155,RIF1,-0.11986637,-0.045823034,0.9634512982362416,AC084064.1,-20.074448,-0.023230098,0.9814667300323713,SOX11,-0.15281147,-0.03724791,0.9702873375513422,DKK1,-21.308884,-0.048331436,0.9614521004823823
1336,ABCD1,-0.6990749,-0.17494072,0.8611262162483487,C6orf99,-21.308895,-0.04458074,0.9644414963458185,FZD10,-1.4106553,-0.05959959,0.9524745448054384,SELL,-0.89597434,-0.045845367,0.9634334994500904,WFIKKN2,-20.37119,-0.023230098,0.9814667300323713,PRSS35,-0.26595938,-0.03744551,0.9701297841597369,CENPK,-21.206388,-0.048331436,0.9614521004823823
1337,BTN3A1,0.12490462,-0.17545153,0.8607248461996403,AL357140.1,-21.515032,-0.04458074,0.9644414963458185,BCL2A1,-1.3150766,-0.05959959,0.9524745448054384,MYO1G,-0.93863386,-0.045845367,0.9634334994500904,LINC00346,-20.014849,-0.023230098,0.9814667300323713,ALG1L,-0.3020659,-0.037564073,0.970035252683955,CFAP299,-21.494942,-0.048331436,0.9614521004823823
1338,CCL19,-0.34833038,-0.17723942,0.8593203349668246,CTSW,-21.52131,-0.04458074,0.9644414963458185,E2F2,-1.575191,-0.059627447,0.9524523577661629,VAV1,-1.0661517,-0.04589003,0.9633979019324621,MTCP1,-20.086607,-0.023230098,0.9814667300323713,EBF1,-0.4776434,-0.038038317,0.9696571310041724,AC069148.1,-21.484184,-0.048331436,0.9614521004823823
1339,PLEKHH2,-0.6076093,-0.17741501,0.8591824158274597,FOXA3,-21.367418,-0.04458074,0.9644414963458185,CDCA7,-1.7303034,-0.059627447,0.9524523577661629,SCIN,-0.9454528,-0.04589003,0.9633979019324621,IL9R,-20.128239,-0.023230098,0.9814667300323713,TDRG1,-20.670732,-0.03841376,0.9693577895076552,AL354760.1,-21.22548,-0.048331436,0.9614521004823823
1340,WNT10A,-1.0972353,-0.1775108,0.8591071890166713,NCAPG,-21.50459,-0.04458074,0.9644414963458185,AL162274.2,-1.600173,-0.059655305,0.9524301707637406,FAM178B,-1.17107,-0.04597935,0.9633267071161511,DPEP3,-19.947327,-0.023230098,0.9814667300323713,HOXA5,-20.994427,-0.03841376,0.9693577895076552,AC005759.1,-21.516203,-0.048331436,0.9614521004823823
1341,HSPA2,0.20536645,-0.18167719,0.8558360698025004,CENPK,-21.188225,-0.04458074,0.9644414963458185,AC098864.1,-1.7841451,-0.059655305,0.9524301707637406,STK17B,-0.2532509,-0.046247322,0.9631131244238831,CASP14,-19.924591,-0.023230098,0.9814667300323713,AL031777.3,-20.994364,-0.03841376,0.9693577895076552,DNM3OS,-21.423046,-0.048331436,0.9614521004823823
1342,ZNF595,-0.13838749,-0.18174104,0.8557859568240324,AC008035.1,-21.36249,-0.04458074,0.9644414963458185,POPDC2,-1.594979,-0.059655305,0.9524301707637406,DERL3,-0.40877813,-0.046827927,0.9626503710247271,MYBPH,-19.898018,-0.023230098,0.9814667300323713,AL031055.1,-20.986042,-0.03841376,0.9693577895076552,LMOD3,-21.36363,-0.048331436,0.9614521004823823
1343,JAK2,-0.25201628,-0.1818049,0.8557358444271058,MAB21L1,-21.68793,-0.04458074,0.9644414963458185,AL021328.1,-2.3672194,-0.05968316,0.9524079837981888,CHMP7,-0.1866225,-0.046984244,0.9625257857142604,DNAI2,-20.38571,-0.023230098,0.9814667300323713,AC021851.1,-20.883467,-0.03841376,0.9693577895076552,AL357140.1,-21.533201,-0.048331436,0.9614521004823823
1344,LMCD1,0.1894485,-0.18185279,0.8556982605111663,AC025175.1,-21.147587,-0.04458074,0.9644414963458185,LINC01843,-1.9509709,-0.05968316,0.9524079837981888,CEP78,-0.15753019,-0.047788154,0.9618850757799842,AL139286.2,-20.205353,-0.023230098,0.9814667300323713,LINC02199,-20.95549,-0.03841376,0.9693577895076552,TDRD12,-21.385477,-0.048331436,0.9614521004823823
1345,NEMP1,-0.31820235,-0.18202838,0.855560455620354,KRT33B,-21.180973,-0.04458074,0.9644414963458185,FO704657.1,-1.8212771,-0.05968316,0.9524079837981888,PRKDC,-0.10360583,-0.048324097,0.961457949472749,MPC1L,-19.785078,-0.023230098,0.9814667300323713,RFPL3S,-20.825558,-0.03841376,0.9693577895076552,WDR88,-21.35098,-0.048331436,0.9614521004823823
1346,STK17B,-0.3687331,-0.18231572,0.8553349662108917,REM1,-21.36662,-0.04458074,0.9644414963458185,PLN,-0.92979586,-0.060546722,0.9517202062474193,STRN3,-0.2077282,-0.04859207,0.9612443904597177,AC020922.4,-20.03454,-0.023230098,0.9814667300323713,ZNF816-ZNF321P,-20.94237,-0.03841376,0.9693577895076552,PTPN7,-21.312439,-0.048331436,0.9614521004823823
1347,AC097468.3,-22.604443,-0.18258709,0.8551220148366308,AL121761.2,-21.3883,-0.04458074,0.9644414963458185,SLC17A9,-1.0052618,-0.06063029,0.9516536490298262,CFAP299,-21.50055,-0.049440645,0.9605681386701679,TMEM92-AS1,-20.182333,-0.023230098,0.9814667300323713,EDN2,-20.885342,-0.03841376,0.9693577895076552,SH2D3A,0.14571315,-0.048445214,0.9613614277238084
1348,GNLY,-22.661469,-0.18258709,0.8551220148366308,AP000866.1,-21.355572,-0.04458074,0.9644414963458185,AC073508.3,-0.4373344,-0.061020285,0.9513430531475726,NCAPG,-21.528368,-0.049440645,0.9605681386701679,AC231981.1,-20.03672,-0.023230098,0.9814667300323713,ENPEP,-20.9183,-0.03841376,0.9693577895076552,ABCC11,-0.2865143,-0.04849072,0.9613251587602494
1349,SMIM6,-22.792055,-0.18258709,0.8551220148366308,TCP11L2,-21.344534,-0.04458074,0.9644414963458185,ADCY4,-0.5764126,-0.061298855,0.9511212034685352,AC069148.1,-21.489794,-0.049440645,0.9605681386701679,AL162591.2,-20.201506,-0.023230098,0.9814667300323713,KIF18A,-20.806131,-0.03841376,0.9693577895076552,CTF1,-0.18331264,-0.04849072,0.9613251587602494
1350,DTYMK,0.33998406,-0.18300213,0.8547963449137416,AC053503.2,-21.509838,-0.04458074,0.9644414963458185,AC137723.1,-0.60968983,-0.061382424,0.951054649302752,LINC01124,-21.597097,-0.049440645,0.9605681386701679,EME2,-0.32365534,-0.02348821,0.9812608424690338,LINC00894,-20.963108,-0.03841376,0.9693577895076552,GSTM2,-0.24669977,-0.048923064,0.960980607608945
1351,CASP7,-0.3249591,-0.18493368,0.8532810534785285,GHRL,-21.42873,-0.04458074,0.9644414963458185,KIF20B,-0.189696,-0.06157742,0.950899357577746,CENPK,-21.211996,-0.049440645,0.9605681386701679,NUSAP1,-0.4327917,-0.026069332,0.9792020377490284,LINC00354,-20.996037,-0.03841376,0.9693577895076552,SLC16A9,-0.30328357,-0.049947035,0.960164594595506
1352,CERNA1,-0.42101932,-0.18496561,0.8532560118705376,BHLHE40-AS1,-21.35744,-0.04458074,0.9644414963458185,HDHD5-AS1,-0.8685419,-0.06185599,0.9506775154923554,LINC01579,-21.267902,-0.049440645,0.9605681386701679,HLA-DOA,-0.52092993,-0.026138162,0.979147138125254,GZMH,-20.909788,-0.03841376,0.9693577895076552,ZSCAN29,0.30703998,-0.05329201,0.9574992474132575
1353,MUCL1,-0.09020553,-0.18558817,0.8527677301020973,CTSV,-21.41454,-0.04458074,0.9644414963458185,AC087393.2,-0.76426375,-0.061911702,0.9506331475334342,AC005759.1,-21.52181,-0.049440645,0.9605681386701679,AC096564.1,-0.5178522,-0.026379067,0.9789549902215565,FMO4,-21.048977,-0.03841376,0.9693577895076552,SP5,0.1927146,-0.056341168,0.9550700243620847
1354,PIR,0.20466341,-0.18751971,0.8512531644566228,LINC01579,-21.24413,-0.04458074,0.9644414963458185,PTK6,-0.40159494,-0.06227384,0.9503447595369056,CPO,-21.379742,-0.049440645,0.9605681386701679,ERG,-0.69535494,-0.026516726,0.9788451919669625,AL445228.2,-20.821455,-0.03841376,0.9693577895076552,FZD10,-21.585459,-0.056386676,0.9550337704061989
1355,ALG1L,-0.37815112,-0.18764742,0.8511530471556068,AL357079.1,-21.343945,-0.04458074,0.9644414963458185,CTHRC1,-0.124324255,-0.062928475,0.949823459303958,MAB21L1,-21.711712,-0.049440645,0.9605681386701679,AC137723.1,-0.7580286,-0.026551142,0.978817742465857,AC073320.1,-20.814985,-0.03841376,0.9693577895076552,SNAI1,-21.487265,-0.056386676,0.9550337704061989
1356,SOX11,-0.55084,-0.18777514,0.8510529322537359,DNM3OS,-21.404879,-0.04458074,0.9644414963458185,THBD,-0.7895561,-0.06505952,0.9481266105693742,AL357140.1,-21.53881,-0.049440645,0.9605681386701679,TMEM88,-0.35823637,-0.027686836,0.9779119231948621,AZU1,-20.85515,-0.03841376,0.9693577895076552,KLHL6,-21.54765,-0.056386676,0.9550337704061989
1357,ST20-AS1,-0.82388663,-0.18796669,0.8509027644027721,TDRD12,-21.36731,-0.04458074,0.9644414963458185,LYAR,-0.27415225,-0.06522666,0.9479935342431808,TDRD12,-21.391085,-0.049440645,0.9605681386701679,DERL3,-0.13578618,-0.028099814,0.9775825413692821,LINC02259,-20.752068,-0.03841376,0.9693577895076552,TEX14,-21.365217,-0.056386676,0.9550337704061989
1358,SASH3,-1.1818025,-0.19071236,0.8487509552962503,FHL5,-21.396935,-0.04458074,0.9644414963458185,MMP11,-0.09646459,-0.0658813,0.9474723326358397,AL357079.1,-21.367718,-0.049440645,0.9605681386701679,AC003684.1,-0.5035958,-0.028788114,0.977033580181786,IDH2-DT,-20.892927,-0.03841376,0.9693577895076552,POPDC2,-21.325766,-0.056386676,0.9550337704061989
1359,AC104964.4,0.059294228,-0.19152649,0.8481131346943818,AC130324.3,-21.280973,-0.04458074,0.9644414963458185,FBXO38,-0.21436217,-0.06666128,0.9468513558304605,LPAR4,-21.563072,-0.049440645,0.9605681386701679,PDGFRL,-0.4430103,-0.028856944,0.9769786846570095,KRT37,-20.91774,-0.03841376,0.9693577895076552,CDCA7,-21.591038,-0.056386676,0.9550337704061989
1360,C11orf96,0.29986054,-0.19248427,0.8473628848637061,AC069148.1,-21.466017,-0.04458074,0.9644414963458185,VSIG10,-0.3046202,-0.066675216,0.9468402672512408,TCP11L2,-21.368309,-0.049440645,0.9605681386701679,CD33,-0.5172869,-0.028856944,0.9769786846570095,CENPI,-20.763144,-0.03841376,0.9693577895076552,LINC01473,-21.505854,-0.056386676,0.9550337704061989
1361,PGM2,-0.061338164,-0.19301106,0.8469503063662183,AC240274.1,-21.416803,-0.04458074,0.9644414963458185,CSNK1G2,-0.13094442,-0.067469135,0.9462082353239308,FHL5,-21.42071,-0.049440645,0.9605681386701679,ZNF595,-0.23886131,-0.028874151,0.9769649607928419,ADGRG6,-21.048128,-0.03841376,0.9693577895076552,F5,-21.441603,-0.056386676,0.9550337704061989
1362,AC015917.2,-1.2433642,-0.19307491,0.8469002996995684,CFAP299,-21.476772,-0.04458074,0.9644414963458185,AC073320.1,-21.128103,-0.06769199,0.9460308289211694,AC008035.1,-21.386263,-0.049440645,0.9605681386701679,NR3C2,-0.15387379,-0.028942982,0.9769100654043992,ECT2L,-20.999573,-0.03841376,0.9693577895076552,ZIC4,-21.790838,-0.056386676,0.9550337704061989
1363,ARHGAP17,0.22189878,-0.19455948,0.845737818904648,C8orf34-AS1,-21.331282,-0.04458074,0.9644414963458185,HES2,-21.192467,-0.06769199,0.9460308289211694,AP000866.1,-21.379347,-0.049440645,0.9605681386701679,COLEC12,-0.20778854,-0.029596865,0.9763885647052116,AC131159.2,-20.776161,-0.03841376,0.9693577895076552,AL162274.2,-21.538383,-0.056386676,0.9550337704061989
1364,AC003684.1,-22.684565,-0.19562903,0.8449005406527974,AL512353.1,-21.263132,-0.04458074,0.9644414963458185,RPEL1,-21.08961,-0.06769199,0.9460308289211694,RTL9,-21.162146,-0.049440645,0.9605681386701679,AC124016.1,-0.45205626,-0.029665696,0.9763336704780021,TNMD,-20.97125,-0.03841376,0.9693577895076552,AC009955.4,-21.568699,-0.056386676,0.9550337704061989
1365,IGHE,-22.99518,-0.19562903,0.8449005406527974,DDX18,-0.12471515,-0.044702545,0.9643444065739486,IDH2-DT,-21.206062,-0.06769199,0.9460308289211694,AC053503.2,-21.533617,-0.049440645,0.9605681386701679,DLL1,-0.47539517,-0.0299066,0.9761415415671647,BDKRB1,-21.084797,-0.03841376,0.9693577895076552,AC114341.1,-21.416574,-0.056386676,0.9550337704061989
1366,EFCAB11,-0.2529092,-0.19775213,0.8432390007197149,DACT2,-0.5331265,-0.045433376,0.9637618790947562,AC013726.1,-21.05265,-0.06769199,0.9460308289211694,CTSW,-21.54509,-0.049440645,0.9605681386701679,AC082651.3,-0.8645124,-0.03181663,0.9746182836795826,AL390955.2,-20.97194,-0.03841376,0.9693577895076552,CGN,-0.071781844,-0.056432188,0.9549975165433459
